Country,Gender,Year,OECD,Life_exp
Latvia,Male,2016,True,69.8
Latvia,Total,2016,True,74.9
Latvia,Female,2017,True,79.7
Latvia,Male,2017,True,69.8
Latvia,Total,2017,True,74.9
Latvia,Female,2018,True,79.7
Latvia,Male,2018,True,70.1
Latvia,Total,2018,True,75.1
Latvia,Female,2019,True,80.1
Latvia,Male,2019,True,70.9
Latvia,Total,2019,True,75.7
Latvia,Female,2020,True,80.0
Latvia,Male,2020,True,70.6
Latvia,Total,2020,True,75.5
Latvia,Female,2021,True,78.0
Latvia,Male,2021,True,68.2
Latvia,Total,2021,True,73.1
Latvia,Female,2022,True,79.4
Latvia,Male,2022,True,69.4
Latvia,Total,2022,True,74.5
Latvia,Female,2023,True,80.8
Latvia,Male,2023,True,70.8
Latvia,Total,2023,True,75.9
Lithuania,Female,2015,True,79.7
Lithuania,Male,2015,True,69.2
Lithuania,Total,2015,True,74.6
Lithuania,Female,2016,True,80.1
Lithuania,Male,2016,True,69.5
Lithuania,Total,2016,True,74.9
Lithuania,Female,2017,True,80.5
Lithuania,Male,2017,True,70.7
Lithuania,Total,2017,True,75.8
Lithuania,Female,2018,True,80.7
Lithuania,Male,2018,True,70.9
Lithuania,Total,2018,True,76.0
Lithuania,Female,2019,True,81.2
Lithuania,Male,2019,True,71.6
Lithuania,Total,2019,True,76.5
Lithuania,Female,2020,True,80.1
Lithuania,Male,2020,True,70.1
Lithuania,Total,2020,True,75.1
Lithuania,Female,2021,True,78.8
Lithuania,Male,2021,True,69.5
Lithuania,Total,2021,True,74.2
Lithuania,Female,2022,True,80.1
Lithuania,Male,2022,True,71.4
Lithuania,Total,2022,True,75.8
Lithuania,Female,2023,True,81.7
Lithuania,Male,2023,True,72.5
Lithuania,Total,2023,True,77.3
Luxembourg,Female,2015,True,84.7
Luxembourg,Male,2015,True,80.0
Luxembourg,Total,2015,True,82.4
Luxembourg,Female,2016,True,85.4
Luxembourg,Male,2016,True,80.1
Luxembourg,Total,2016,True,82.7
Luxembourg,Female,2017,True,84.4
Luxembourg,Male,2017,True,79.9
Luxembourg,Total,2017,True,82.1
Luxembourg,Female,2018,True,84.6
Luxembourg,Male,2018,True,80.1
Luxembourg,Total,2018,True,82.3
Luxembourg,Female,2019,True,85.2
Luxembourg,Male,2019,True,80.2
Luxembourg,Total,2019,True,82.7
Luxembourg,Female,2020,True,84.5
Luxembourg,Male,2020,True,79.9
Luxembourg,Total,2020,True,82.2
Luxembourg,Female,2021,True,84.8
Luxembourg,Male,2021,True,80.5
Luxembourg,Total,2021,True,82.7
Luxembourg,Female,2022,True,85.2
Luxembourg,Male,2022,True,80.8
Luxembourg,Total,2022,True,83.0
Luxembourg,Female,2023,True,85.1
Luxembourg,Male,2023,True,81.7
Luxembourg,Total,2023,True,83.4
Mexico,Female,2015,True,77.8
Mexico,Male,2015,True,72.4
Mexico,Total,2015,True,75.1
Mexico,Female,2016,True,77.7
Mexico,Male,2016,True,72.0
Mexico,Total,2016,True,74.8
Mexico,Female,2017,True,77.9
Mexico,Male,2017,True,72.0
Mexico,Total,2017,True,74.8
Mexico,Female,2018,True,78.0
Mexico,Male,2018,True,71.8
Mexico,Total,2018,True,74.9
Mexico,Female,2019,True,78.0
Mexico,Male,2019,True,71.8
Mexico,Total,2019,True,74.8
Mexico,Female,2020,True,73.5
Mexico,Male,2020,True,64.9
Mexico,Total,2020,True,68.9
Mexico,Female,2021,True,73.1
Mexico,Male,2021,True,64.9
Mexico,Total,2021,True,68.8
Mexico,Female,2022,True,78.5
Mexico,Male,2022,True,72.1
Mexico,Total,2022,True,75.2
Mexico,Female,2023,True,78.6
Mexico,Male,2023,True,72.3
Mexico,Total,2023,True,75.3
